Date;PX_LAST;PX_HIGH;PX_LOW;PX_OPEN
26.10.2018;65.7129;65.9311;65.5156;66.0626
25.10.2018;65.5925;65.9794;65.4423;66.0883
24.10.2018;65.6732;65.7815;64.9716;66.175
23.10.2018;65.5061;65.7161;65.2322;65.7873
22.10.2018;65.2453;65.5587;65.004;65.8633
19.10.2018;65.5106;65.9234;65.322;65.6202
18.10.2018;65.8235;65.8864;65.4586;65.6802
17.10.2018;65.4944;65.6738;65.276;65.756
16.10.2018;65.3214;65.6594;65.2533;65.4537
15.10.2018;65.6604;66.09;65.292;65.3759
12.10.2018;66.1323;66.4194;65.8758;65.5393
11.10.2018;66.266;66.998;66.0159;65.2504
10.10.2018;66.886;66.908;66.0285;65.35
09.10.2018;66.2825;66.871;66.1582;65.7335
08.10.2018;66.5786;67.0908;66.5339;65.3594
05.10.2018;66.5966;66.9463;66.408;65.4167
04.10.2018;67.0152;67.0452;66.0928;65.6283
03.10.2018;65.8764;65.8903;65.3562;66.1025
02.10.2018;65.4838;65.6138;65.1004;66.1483
01.10.2018;64.9749;65.8415;64.8512;66.6007
28.09.2018;65.5532;65.9355;65.3851;66.394
27.09.2018;65.6105;65.9339;65.2265;66.7436
26.09.2018;65.823;66.0923;65.6795;66.6
25.09.2018;65.8622;65.9937;65.5215;66.8861
24.09.2018;65.8485;66.6062;65.6869;65.7171
21.09.2018;66.4352;66.8057;66.1171;65.3556
20.09.2018;66.2615;66.6872;66.2049;65.2619
19.09.2018;66.8195;67.199;66.679;65.6574
18.09.2018;67.3604;67.9401;67.3084;65.4139
17.09.2018;68.0631;68.3695;67.9173;65.9288
14.09.2018;68.087;68.5344;67.4665;65.8201
13.09.2018;68.2475;68.93;67.9613;65.8072
12.09.2018;69.0238;69.8004;68.6555;66.9512
11.09.2018;69.4148;70.3019;69.4112;66.2934
10.09.2018;70.5638;70.5925;69.711;66.8221
07.09.2018;69.9188;69.9395;68.7991;67.4649
06.09.2018;69.2515;69.6324;68.1844;68.0046
05.09.2018;68.2643;68.5878;68.1437;68.037
04.09.2018;68.1175;68.4868;67.98;68.3942
03.09.2018;68.1188;68.1768;67.5128;69.1333
31.08.2018;67.5427;68.1488;67.3144;69.6123
30.08.2018;68.2398;68.3975;67.7633;70.5358
29.08.2018;67.9488;68.395;67.6836;69.9059
28.08.2018;67.8761;67.9215;67.2137;69.3984
27.08.2018;67.5365;67.681;66.9761;68.272
24.08.2018;67.0884;67.96;67.0718;68.0642
23.08.2018;68.1933;69.0079;67.4753;68.1537
22.08.2018;68.0284;68.4492;67.3699;67.5147
21.08.2018;67.2745;67.62;66.863;68.2159
20.08.2018;67.1155;67.3522;66.99;67.9664
17.08.2018;67.0426;67.6411;66.7315;67.772
16.08.2018;66.8254;67.173;66.6118;67.1711
15.08.2018;67.2937;67.7618;66.2388;67.42
14.08.2018;66.3376;67.0844;66.3211;68.2102
13.08.2018;67.8151;68.584;67.394;68.3035
10.08.2018;67.696;67.9077;66.528;67.2573
09.08.2018;66.6768;66.712;65.7887;67.1623
08.08.2018;65.5508;65.6585;63.4515;67.2745
07.08.2018;63.4935;63.6355;63.3806;66.8779
06.08.2018;63.7469;63.7882;63.342;67.4332
03.08.2018;63.3337;63.5381;63.1559;66.5399
02.08.2018;63.376;63.5548;63.0648;68.1622
01.08.2018;63.0408;63.0775;62.4842;67.794
31.07.2018;62.5221;62.59;62.2241;66.435
30.07.2018;62.2555;62.8945;62.1917;65.1322
27.07.2018;62.7982;63.0435;62.6527;63.48
26.07.2018;62.9475;63.0923;62.83;63.5972
25.07.2018;62.8262;63.2462;62.815;63.555
24.07.2018;63.3142;63.5296;62.6613;63.4555
23.07.2018;63.0676;63.4825;62.9709;63.0102
20.07.2018;63.534;63.6408;63.2854;62.3232
19.07.2018;63.6602;63.7925;63.0402;62.2415
18.07.2018;62.9826;63.2504;62.7207;62.675
17.07.2018;62.5945;62.6024;62.3883;62.846
16.07.2018;62.3125;62.5775;62.0983;63.027
13.07.2018;62.5634;62.763;62.0648;63.3307
12.07.2018;62.2731;62.314;61.9207;63.083
11.07.2018;62.369;62.4474;61.641;63.525
10.07.2018;61.7421;62.6372;61.6481;63.7771
09.07.2018;62.4906;63.0729;62.422;63.0246
06.07.2018;62.9655;63.2562;62.9122;62.5187
05.07.2018;63.1275;63.3615;62.937;62.3181
04.07.2018;63.2265;63.3526;62.9945;62.5845
03.07.2018;63.131;63.3623;63.0878;62.2422
02.07.2018;63.4245;63.595;62.7248;62.1037
29.06.2018;62.7416;62.8736;62.5755;61.9184
28.06.2018;62.8215;63.4755;62.803;62.5707
27.06.2018;63.2315;63.3939;62.8754;63.0182
26.06.2018;63.0305;63.3585;62.7261;63.0679
25.06.2018;62.767;63.32;62.63;63.2744
22.06.2018;62.88;63.3514;62.807;63.2556
21.06.2018;63.7035;63.9195;63.4764;63.4641
20.06.2018;63.6796;63.8157;63.4135;63.0998
19.06.2018;63.8569;64.2126;63.6597;62.9398
18.06.2018;63.4661;63.7937;63.1582;63.1469
15.06.2018;63.1801;63.3469;62.4466;63.102
14.06.2018;62.6185;62.6474;61.9623;62.8565
13.06.2018;62.5121;63.228;62.3073;62.9007
11.06.2018;62.8233;62.9198;62.0667;63.7029
08.06.2018;62.3256;62.9356;62.2359;63.6067
07.06.2018;62.4142;62.6455;61.6881;63.7921
06.06.2018;61.7911;62.1667;61.7775;63.5379
05.06.2018;62.1486;62.449;61.881;63.2
04.06.2018;62.0658;62.2346;61.8189;62.2211
01.06.2018;62.2032;62.3686;61.9428;62.3575
31.05.2018;62.3985;62.5575;61.9426;62.9416
30.05.2018;62.0781;62.6957;62.0028;62.7859
29.05.2018;62.8289;62.9221;62.3553;62.1795
28.05.2018;62.3128;62.495;61.9489;62.3737
25.05.2018;62.3004;62.3368;61.5246;61.9294
24.05.2018;61.6077;61.6708;61.2935;62.1011
23.05.2018;61.3408;61.815;61.2652;62.0522
22.05.2018;61.2229;61.6423;60.9527;62.1915
21.05.2018;61.6062;62.7096;61.522;62.3396
18.05.2018;62.2818;62.6912;61.8322;62.0073
17.05.2018;62.1675;62.2185;61.739;62.7876
16.05.2018;61.7172;62.6334;61.6215;62.3621
15.05.2018;62.3188;62.7639;61.7897;61.755
14.05.2018;61.8514;61.9665;61.5195;61.4923
11.05.2018;61.9515;62.0397;61.4166;61.4515
10.05.2018;61.6962;62.677;61.5832;61.1926
08.05.2018;63.2148;63.6708;62.8223;61.6438
07.05.2018;62.9221;63.0125;61.4962;62.475
04.05.2018;62.5205;63.4737;62.3498;62.0912
03.05.2018;63.0234;63.8681;62.8597;61.6297
02.05.2018;64.0092;64.2524;63.1693;62.3474
30.04.2018;62.9713;63.16;62.1564;61.7848
27.04.2018;62.1564;62.846;61.7287;61.5195
26.04.2018;62.7193;63.0327;62.1577;61.7146
25.04.2018;62.4137;62.4889;61.6374;63.026
24.04.2018;61.5967;61.7957;61.3598;63.4687
23.04.2018;61.8355;62.1822;61.1644;62.6819
20.04.2018;61.397;61.6027;61.0521;62.69
19.04.2018;60.876;61.2008;60.5733;63.0705
18.04.2018;60.834;61.9389;60.76;63.9221
17.04.2018;61.5397;62.0414;60.8396;63.415
16.04.2018;61.1385;62.7393;60.994;63.0019
13.04.2018;62.027;62.2849;61.2047;62.1733
12.04.2018;61.9858;63.0934;61.28;62.6125
11.04.2018;62.6023;65.0396;62.0669;62.4467
10.04.2018;63.0443;63.9131;60.3009;61.4331
09.04.2018;60.6548;60.6553;58.0916;61.8768
06.04.2018;58.1652;58.1675;57.7346;61.1595
05.04.2018;57.7038;57.7765;57.5114;60.8873
04.04.2018;57.4441;57.9067;57.4157;61.0237
03.04.2018;57.5708;57.7005;57.4447;61.8518
02.04.2018;57.4956;57.6455;57.1178;62.1468
30.03.2018;57.1305;57.4749;57.033;62.2381
29.03.2018;57.2614;57.8376;57.2463;61.8602
28.03.2018;57.7359;57.8834;57.4732;62.7543
27.03.2018;57.5165;57.5345;57.0925;63.0178
26.03.2018;57.1651;57.5105;56.8267;60.4443
23.03.2018;57.2757;57.3385;56.986;58.1285
22.03.2018;57.258;57.2806;56.7374;57.6883
21.03.2018;56.8812;57.604;56.8567;57.4754
20.03.2018;57.5211;57.892;57.4221;57.6475
19.03.2018;57.8392;58.0379;57.464;57.5504
16.03.2018;57.4928;57.8092;57.3872;57.2087
15.03.2018;57.4626;57.5293;56.934;57.3153
14.03.2018;57.1418;57.3094;56.7658;57.8529
13.03.2018;57.0352;57.131;56.6441;57.4062
12.03.2018;56.8847;56.993;56.4895;57.3343
09.03.2018;56.6589;57.097;56.5965;57.2995
07.03.2018;56.8042;57.0637;56.7214;57.0902
06.03.2018;56.6598;56.757;56.2638;57.2701
05.03.2018;56.4248;57.306;56.4207;57.5722
02.03.2018;56.816;57.3801;56.5776;57.8265
01.03.2018;56.8187;57.0556;56.3434;57.505
28.02.2018;56.3433;56.4665;56.0413;57.499
27.02.2018;56.2795;56.3536;55.5577;57.1562
26.02.2018;55.718;56.5215;55.7096;56.978
22.02.2018;56.5215;56.8769;56.4865;56.8628
21.02.2018;56.7519;56.7744;56.4557;56.7563
20.02.2018;56.5524;56.7691;56.4023;57.1384
19.02.2018;56.4555;56.549;56.2445;56.9636
16.02.2018;56.4009;56.4712;56.176;56.7066
15.02.2018;56.4065;56.8822;56.3976;56.5358
14.02.2018;56.7118;57.7795;56.7065;57.0775
13.02.2018;57.6319;57.9619;57.6132;56.785
12.02.2018;57.8288;58.3869;57.6633;56.2361
09.02.2018;58.3869;58.7665;57.9174;56.1802
08.02.2018;58.4155;58.4252;57.5201;55.823
07.02.2018;57.6265;57.6348;56.7523;56.2815
06.02.2018;56.8689;57.4342;56.8603;56.5365
05.02.2018;57.214;57.2245;56.3827;56.6111
02.02.2018;56.55;56.5632;55.9824;56.4599
01.02.2018;55.9159;56.4295;55.9098;56.3698
31.01.2018;56.2173;56.3526;56.0705;56.4825
30.01.2018;56.378;56.4385;55.8839;56.5813
29.01.2018;56.3197;56.5183;56.1679;56.9753
26.01.2018;56.2681;56.2694;55.7356;57.7885
25.01.2018;55.9265;56.1333;55.59;57.7929
24.01.2018;56.1785;56.4713;56.1663;58.6272
23.01.2018;56.3571;56.5899;56.325;58.3097
22.01.2018;56.5057;56.7162;56.4489;57.475
19.01.2018;56.7168;56.73;56.512;57.0069
18.01.2018;56.5163;56.841;56.4139;56.8885
17.01.2018;56.7695;56.9552;56.5518;56.2498
16.01.2018;56.5255;56.5444;56.2985;56.0714
15.01.2018;56.333;56.548;56.235;56.2836
12.01.2018;56.6427;56.7495;56.4678;56.3366
11.01.2018;56.4286;57.08;56.4277;56.3877
